Player,APPS,MINS,GOALS,XG,GOALS VS XG,SHOTS,SOT,CONV %,XG PER SHOT
Erling Haaland,12,1038,14,12.63,1.37,50,29,28.00%,0.25
Jean-Philippe Mateta,12,1022,6,8.44,-2.44,33,18,18.18%,0.26
Igor Thiago,12,1014,9,7.36,1.64,28,17,32.14%,0.26
Enzo Fernández,11,972,4,5.36,-1.36,24,12,16.67%,0.22
Danny Welbeck,12,802,7,4.9,2.1,18,9,38.89%,0.27
Bruno Fernandes,11,982,2,4.62,-2.62,25,8,8.00%,0.18
Antoine Semenyo,11,989,6,4.58,1.42,23,14,26.09%,0.2
Viktor Gyökeres,10,802,4,4.56,-0.56,20,8,20.00%,0.23
João Pedro,12,1010,4,4.04,-0.04,21,10,19.05%,0.19
Beto,11,611,1,3.89,-2.89,14,4,7.14%,0.28
Ismaïla Sarr,10,884,3,3.85,-0.85,16,6,18.75%,0.24
Mohamed Salah,12,1074,4,3.82,0.18,30,10,13.33%,0.13
Nick Woltemade,9,701,4,3.65,0.35,17,6,23.53%,0.21
Cody Gakpo,12,920,3,3.47,-0.47,30,5,10.00%,0.12
Bryan Mbeumo,11,956,5,3.2,1.8,26,14,19.23%,0.12
Kevin Schade,12,1012,3,3.16,-0.16,19,7,15.79%,0.17
Morgan Gibbs-White,12,1001,3,2.79,0.21,27,9,11.11%,0.1
Chris Wood,8,544,2,2.77,-0.77,16,6,12.50%,0.17
Harvey Barnes,12,552,3,2.72,0.28,16,6,18.75%,0.17
Iliman Ndiaye,11,917,4,2.66,1.34,12,8,33.33%,0.22
Ollie Watkins,12,938,1,2.64,-1.64,20,5,5.00%,0.13
Wilson Isidor,12,740,4,2.6,1.4,25,7,16.00%,0.1
Jurriën Timber,12,973,2,2.58,-0.58,14,5,14.29%,0.18
Dango Ouattara,11,707,2,2.55,-0.55,18,6,11.11%,0.14
Bukayo Saka,10,774,3,2.52,0.48,20,10,15.00%,0.13
Eberechi Eze,11,797,4,2.5,1.5,31,12,12.90%,0.08
Marcus Tavernier,12,949,3,2.47,0.53,21,6,14.29%,0.12
Pedro Neto,12,927,4,2.45,1.55,18,8,22.22%,0.14
Jaidon Anthony,12,966,4,2.42,1.58,16,8,25.00%,0.15
Raúl Jiménez,11,543,2,2.4,-0.4,20,6,10.00%,0.12
Hugo Ekitiké,11,672,3,2.35,0.65,16,4,18.75%,0.15
Yankuba Minteh,12,1039,1,2.31,-1.31,20,4,5.00%,0.12
Riccardo Calafiori,12,952,1,2.29,-1.29,20,3,5.00%,0.11
Tomás Soucek,9,464,2,2.28,-0.28,10,7,20.00%,0.23
Jacob Murphy,11,661,2,2.24,-0.24,26,10,7.69%,0.09
Richarlison,12,722,5,2.19,2.81,20,8,25.00%,0.11
Dominic Calvert-Lewin,10,634,1,2.09,-1.09,19,8,5.26%,0.11
Amad Diallo,10,756,1,2.08,-1.08,15,7,6.67%,0.14
Evanilson,10,813,1,2.02,-1.02,23,6,4.35%,0.09
Bruno Guimarães,11,985,3,1.99,1.01,15,4,20.00%,0.13
Leandro Trossard,10,723,3,1.98,1.02,16,6,18.75%,0.12
Brenden Aaronson,12,794,1,1.97,-0.97,17,6,5.88%,0.12
Benjamin Sesko,11,616,2,1.97,0.03,18,7,11.11%,0.11
Diego Gómez,11,613,2,1.86,0.14,13,7,15.38%,0.14
Jhon Arias,11,563,0,1.86,-1.86,11,2,0.00%,0.17
Lucas Paquetá,11,960,3,1.84,1.16,16,7,18.75%,0.12
Phil Foden,10,799,1,1.75,-0.75,18,3,5.56%,0.1
Elliot Anderson,12,1080,1,1.68,-0.68,14,4,7.14%,0.12
Jørgen Strand Larsen,10,801,1,1.61,-0.61,13,5,7.69%,0.12
Matheus Cunha,10,685,1,1.6,-0.6,22,10,4.55%,0.07
Jarrod Bowen,12,1080,3,1.57,1.43,28,12,10.71%,0.06
Ladislav Krejcí,9,795,1,1.56,-0.56,8,5,12.50%,0.19
Micky van de Ven,12,1070,3,1.55,1.45,7,3,42.86%,0.22
Tijjani Reijnders,11,774,1,1.53,-0.53,21,6,4.76%,0.07
Yéremy Pino,10,616,1,1.51,-0.51,14,4,7.14%,0.11
Marshall Munetsi,12,868,1,1.51,-0.51,13,5,7.69%,0.12
Sepp van den Berg,12,1080,0,1.5,-1.5,8,4,0.00%,0.19
Mohammed Kudus,11,956,1,1.49,-0.49,17,6,5.88%,0.09
Harry Wilson,11,748,2,1.49,0.51,23,5,8.70%,0.06
Dominik Szoboszlai,12,1080,1,1.42,-0.42,23,8,4.35%,0.06
Anthony Gordon,7,463,0,1.39,-1.39,14,5,0.00%,0.1
Daniel Muñoz,12,1079,2,1.38,0.62,14,7,14.29%,0.1
David Brooks,11,616,0,1.37,-1.37,19,4,0.00%,0.07
