Player,Position,Team
M. Thiaw,Defender,Newcastle
J. Tarkowski,Defender,Everton
Pedro Porro,Defender,Tottenham
J. Gvardiol,Defender,Manchester City
R. Calafiori,Defender,Arsenal
Marc Cucurella,Defender,Chelsea
G. Donnarumma,Goalkeeper,Manchester City
B. Leno,Goalkeeper,Fulham
E. Nwaneri,Midfielder,Arsenal
E. Smith Rowe,Midfielder,Fulham
Mikel Merino,Midfielder,Arsenal
C. Palmer,Midfielder,Chelsea
M. Ødegaard,Midfielder,Arsenal
K. Schade,Midfielder,Brentford
J. Strand Larsen,Striker,Wolves
J. Mateta,Striker,Crystal Palace
C. Wood,Striker,Nottingham Forest
Matheus Cunha,Striker,Manchester United
