NAME,PLAYED,GOALS,XG,GOALS VS XG,SHOTS,SOT,CONV %,XG PER SHOT
Chelsea,12,23,22.47,0.53,173,67,13.29%,0.13
Man City,12,24,22,2,169,61,14.20%,0.13
Arsenal,12,24,21.26,2.74,179,60,13.41%,0.12
Crystal Palace,12,16,20.56,-4.56,145,53,11.03%,0.14
Liverpool,12,18,19.84,-1.84,184,50,9.78%,0.11
Brentford,12,18,18.57,-0.57,127,53,14.17%,0.15
Man Utd,11,19,18.43,0.57,158,56,12.03%,0.12
Brighton,12,19,18.06,0.94,147,55,12.93%,0.12
Bournemouth,12,19,17.42,1.58,160,59,11.88%,0.11
Nottm Forest,12,13,15.55,-2.55,146,50,8.90%,0.11
Newcastle,12,13,15.42,-2.42,140,45,9.29%,0.11
Leeds,12,11,14.86,-3.86,146,43,7.53%,0.1
Everton,11,12,14.76,-2.76,122,35,9.84%,0.12
Fulham,12,13,13.11,-0.11,145,44,8.97%,0.09
West Ham,12,15,13.08,1.92,120,47,12.50%,0.11
Wolves,12,7,11.43,-4.43,113,36,6.19%,0.1
Spurs,12,20,11.16,8.84,110,40,18.18%,0.1
Aston Villa,12,15,10.94,4.06,133,42,11.28%,0.08
Sunderland,12,14,10.62,3.38,115,32,12.17%,0.09
Burnley,12,14,8.74,5.26,98,37,14.29%,0.09
