NAME,PLAYED,GOALS Conceded,XG Against,GOALS VS XG Against,SHOTS Against,SOT,CONV %,XG PER SHOT Against,SHOTS IN BOX Against %,GOALS IN BOX Against %
Burnley,12,24,25.72,-1.72,207,70,11.59%,0.12,67.15%,95.83%
West Ham,12,25,20.82,4.18,189,67,13.23%,0.11,75.13%,96.00%
Nottm Forest,12,20,18.8,1.2,166,62,12.05%,0.11,66.87%,65.00%
Wolves,12,27,17.56,9.44,156,56,17.31%,0.11,58.33%,74.07%
Spurs,12,14,17.12,-3.12,145,52,9.66%,0.12,65.52%,78.57%
Man Utd,11,18,16.78,1.22,127,46,14.17%,0.13,71.65%,88.89%
Leeds,12,22,16.42,5.58,130,47,16.92%,0.13,61.54%,81.82%
Aston Villa,12,11,16.31,-5.31,151,40,7.28%,0.11,66.89%,90.91%
Bournemouth,12,20,15.72,4.28,135,56,14.81%,0.12,68.89%,85.00%
Everton,11,13,15.56,-2.56,144,44,9.03%,0.11,66.67%,92.31%
Liverpool,12,20,15.51,4.49,139,50,14.39%,0.11,66.19%,80.00%
Sunderland,12,11,15.51,-4.51,170,55,6.47%,0.09,64.12%,81.82%
Brighton,12,16,15.11,0.89,127,42,12.60%,0.12,63.78%,75.00%
Fulham,12,16,14.94,1.06,128,50,12.50%,0.12,67.19%,87.50%
Brentford,12,19,14.75,4.25,148,44,12.84%,0.1,60.81%,89.47%
Crystal Palace,12,9,14.54,-5.54,128,36,7.03%,0.11,68.75%,100.00%
Chelsea,12,11,14.27,-3.27,112,33,9.82%,0.13,66.07%,90.91%
Newcastle,12,15,13.93,1.07,134,54,11.19%,0.1,70.15%,80.00%
Man City,12,10,12.68,-2.68,110,38,9.09%,0.12,73.64%,80.00%
Arsenal,12,6,6.21,-0.21,84,23,7.14%,0.07,69.05%,66.67%
